,price=5,price=6,price=7,price=8,price=9,price=10,price=11,price=12,price=13,price=14
"s(10,8)",685.5689621391452,700.2240203243985,724.3248086497582,708.4581764933996,700.1491544883384,700.577207595582,688.4843736438577,680.3525841098524,689.4282008702819,664.9412060948356
"s(10,9)",694.1534729713646,708.4703229835926,755.2965389250189,710.532830016758,693.1412419447528,701.606923876736,691.7082086240126,691.0659942838394,683.1787764812708,668.270071800624
"s(10,10)",724.9344169397309,671.5539150884998,695.0590271288131,652.7255648380853,704.0621939901592,690.7173353692142,672.546942452213,676.7256971568929,660.5529820849015,574.80254284883
"s(10,11)",680.9789263784202,686.7524814585194,710.8215249783963,710.0392350493898,759.1316709279106,673.7013619036868,705.8925312153609,692.1600852688625,694.374077458184,676.0157104182776
"s(10,12)",638.0729088205283,641.771560409541,571.9567456328983,726.9712826754478,634.4063283626353,578.3891392671911,577.7114991199951,545.4238541588828,556.9231019612713,560.5109011659717
"s(10,13)",513.0102376936021,521.9752953165986,469.0820747646499,730.2631776723166,509.557437124078,554.8898720329458,575.2485420290828,603.1564615121792,484.7875460015637,427.3812194884857
"s(10,14)",611.9749941319202,718.8389595358484,551.8516338949618,494.841601387991,581.102611963857,457.155987494448,517.1915431595289,543.6052180314738,533.817371925031,538.8245389971228
"s(11,5)",705.1543426552405,497.69494991694353,434.1261584924745,461.02808958267224,406.3916613726947,500.9733319771925,386.70350307508113,468.17037368982415,365.2392057752271,416.1624782042269
"s(11,6)",634.9994510399567,639.0089344433393,671.7961474431901,729.4335408856754,671.4883620049183,629.8225995001706,653.923926807377,635.6607024185465,649.8895482126745,658.7275855762385
"s(11,7)",667.4168209033978,691.8004890910324,721.503897058888,701.4715222554324,685.822536420751,680.4351049388088,680.198999814316,693.5000339216481,645.8581138234186,630.1445545693753
"s(11,8)",640.5930577385257,699.4545388355607,708.3282804713249,747.4697688053628,681.1199454449627,684.9374636519204,694.9756776728611,682.289992707464,662.3346531040384,661.2855803902869
"s(11,9)",529.9794455294809,757.5971254091445,612.1336663772885,644.0557858157238,584.9434238106323,599.4641383579873,546.4374059461428,633.9967439692018,627.8711198726925,511.571527877516
"s(11,10)",458.7775137259399,524.9908884779445,566.8602463983649,553.1527384827992,484.2256840140736,509.1078692524404,724.2329436567829,525.551532857477,411.77639120911397,432.3742278446717
"s(11,11)",527.0929116502589,511.22317110250475,576.0525757052449,492.5563039695152,453.3376476071251,525.1333316097955,539.014738683238,715.5722505773203,378.1837607061351,412.1922166274377
"s(11,12)",452.87712837318657,337.600227261211,530.6917387875698,498.913243910316,721.4083895506388,498.27008402647897,432.7648509731436,336.0592840081814,427.9818529611512,319.5869358533985
"s(11,13)",705.0263120699328,399.55588424168434,334.58183803628407,405.9188780128798,403.4133207108364,332.1005549424932,342.78478826037946,416.9944226629205,337.7496679538657,462.28223808016065
"s(11,14)",456.17724712489735,709.695928464038,337.96337257520076,193.37928421521755,322.7166168214791,310.89057459248204,381.50556908849444,386.63701528335685,412.94078358156753,226.3085430131842
"s(12,5)",329.6818964520787,334.3682838332573,327.23284759494305,217.6192347943101,296.3260449927601,708.6083859218008,280.0451878515324,258.85297348854476,249.59070109596945,421.2932732514595
"s(12,6)",484.9404221893477,714.5548774608365,471.54089988365996,494.4258341027654,530.7153640925209,410.3003682431373,426.532507286213,471.0698915023095,517.4169181664498,402.4606557582185
"s(12,7)",657.1756505743728,475.1280218061629,651.465485224763,742.23825221405,514.3482129634122,617.63065751353,638.3167497463953,638.9839929037756,651.2925852192881,547.0938091418025
"s(12,8)",652.6296346640424,656.7507482666882,666.7015494030784,749.2603180338417,599.6746059136652,499.0498888985391,647.4716350175712,608.7785060730163,627.6453396795193,615.6404391921517
"s(12,9)",384.97624533246443,757.2694839756916,531.2709967565376,486.658830636935,473.84420161085313,354.3056409678541,375.48326463000325,418.3057010014865,442.5966127222381,347.4024150009442
"s(12,10)",489.37997375445366,365.37922831939755,726.302397491486,325.0322722322405,471.6642722014092,406.6656220428077,441.18541790700544,390.0671858534836,359.43095943694516,327.0313651910732
"s(12,11)",313.13367049136576,719.5831216300255,400.2413365394621,373.93171106304465,307.95453760994343,437.4236611847104,411.49382076517725,385.2101956718122,381.2532480171414,415.3890579935495
"s(12,12)",179.42387071910073,290.5438490131577,363.402169022003,726.8282024663479,400.7405060235474,300.5320911727824,334.35615300250254,392.42342569238735,223.43482233863392,240.86768687816954
"s(12,13)",211.56603447582745,246.45541284939299,293.4053312974886,159.34773297459162,708.5581664193433,310.4688832413763,169.0872667333123,311.3201129797248,343.01801435195136,223.78100972035026
"s(12,14)",259.1855008003882,705.8462836833361,243.6687884535943,232.97728970390233,97.11435713898518,204.69973902610366,185.2204075314817,242.97840031505228,310.5531754480261,237.69951137209398
"s(13,5)",319.5627279597787,300.01035679519197,397.0545876817742,727.0453224278662,309.39970942863135,354.4781484695962,343.0561386358762,193.90870368197488,290.2959655887498,328.35015401457423
"s(13,6)",505.2871454517616,513.1108890608596,720.590474570299,521.7028442843516,553.9868854487268,487.700043818636,517.2563998768451,490.92284146095665,287.25423163129767,417.9821536406026
"s(13,7)",591.6141003489427,602.7293560693646,624.9747894767046,740.7197403225507,589.7864878945522,641.4715185369345,606.9890699741327,605.1339447394411,510.87419187746775,614.2536689435628
"s(13,8)",617.9792542987267,670.7915494237113,605.1238566274646,608.5378733008986,742.9951622415088,683.1689212132561,647.1029412409321,646.6434119336719,650.9759130054513,652.6105372118359
"s(13,9)",370.84877718557135,372.48828457366614,492.38367778393126,763.2138590166326,344.9757476678905,549.4506641748735,443.5440429165329,407.4360722437174,423.2556935169936,312.0109940418041
"s(13,10)",438.1598468465214,710.0961685247213,356.0946669550083,408.50329829260005,523.1215603027476,536.9773519766715,386.84146425360814,499.9005609355196,384.00354870174897,419.692087716336
"s(13,11)",391.9962411165893,472.5142909088864,124.76506545646558,713.7974842346526,450.5466321247043,379.5732016828242,364.8159075346724,421.1432336655662,319.94841593909064,394.8551503536436
"s(13,12)",291.82947665783803,333.6716202132673,288.6150950578393,404.6253647359777,364.8776585102372,708.0399999945807,247.92373671176782,296.91745445771824,351.2330921120866,274.01360357279
"s(13,13)",327.422211690036,326.5606117635871,405.42617429903,222.81792974953345,706.8304759242287,365.5004362686639,209.4366513862722,261.8670253814892,236.55808107168377,229.23601314928666
"s(13,14)",308.17710718254904,354.547354728429,709.6402414796374,351.8446596548032,295.8917563812755,314.36039979625974,284.724588627459,309.4141393783913,242.9579154462972,265.0136870784566
"s(14,5)",297.3118792661039,708.1556721131248,247.80585839526913,277.82106661081315,223.42093607485944,320.1730857215641,297.3656554820642,353.5616586941729,285.4799132071204,212.6031895886304
"s(14,6)",490.62725577313364,415.95198469970137,713.2862322472554,501.0726797801725,526.8480685993782,434.2596516617306,438.12950461257174,421.60018516669993,449.77731497601917,360.058114265062
"s(14,7)",577.882858934645,611.6873010599493,607.6172138038759,595.0621527284177,585.0174046353458,619.7257873037154,704.7724187373149,588.5431256372418,636.3904956543674,622.432673173583
"s(14,8)",674.5892607420155,662.2208974884161,626.9668328162769,626.935047180594,599.7260398259958,731.5243152869092,635.1126925431699,572.4256524080827,642.1853269768463,602.2264792312138
"s(14,9)",324.2178048130456,747.40460889506,371.1491072243927,473.90406746411963,282.9639246005112,338.43308400797446,497.6360422164719,410.27899488057136,489.3479160112009,428.30504362685485
"s(14,10)",469.1117683853927,504.0374981752992,287.42008100671694,474.1971038170395,732.2740071921532,418.6132206038409,267.83597816665167,491.4227075776236,434.53229600242605,472.91312156411163
"s(14,11)",266.4009697338545,295.13626107368884,343.9887776685941,725.6686367509008,385.10543440152446,457.8781054086314,341.1255066487655,465.9029486725238,396.25023670232997,469.99983373524253
"s(14,12)",217.2705944249341,336.4787808213122,382.0821887121658,323.1809246733334,290.38348450784827,694.7980542933861,190.46908298349973,340.65656745540895,246.30271026761613,275.4046608194034
"s(14,13)",179.50366663870278,333.76896111016464,309.89268649364834,718.85318908458,201.8116223240586,305.18907791477585,204.47237453713151,354.2976109739508,290.01448211558477,203.54881251595185
"s(14,14)",285.04034619836625,241.26697400446645,294.1770897919424,716.6989015300117,255.32094845220928,361.2787861022383,301.42609760429787,259.50794715289084,241.29522385451136,178.80170976445478
