,price=5,price=6,price=7,price=8,price=9,price=10,price=11,price=12,price=13,price=14
"s(5,5)",269.51531713356746,705.8888032227848,434.04932684843675,469.4570692288877,178.93809200739608,345.0830984983319,342.65667706494435,342.9065989445845,267.88597244765515,249.5428395521673
"s(5,6)",484.79236914890544,519.431545083699,517.6136007819123,425.8467240925455,717.8726353568562,533.7250042835149,393.0102065631743,380.7226811620875,538.9182117900432,312.66072646514516
"s(5,7)",649.3560460842247,621.3233378930247,676.2798139397744,624.082454763839,748.9269844526718,664.3311091059078,640.3193432178676,629.7733973607275,649.0082184624216,640.7558803320028
"s(5,8)",591.9245323540135,672.7043426320768,648.3013587480598,643.0433466390629,597.0392161325296,726.0153859769631,608.9858183660731,552.2143574290537,609.0614676979146,545.5588400642787
"s(5,9)",470.4026637418617,454.53052160888797,362.49027465195076,580.3468926049372,765.0766955173663,499.6581325304502,450.5943515088451,395.93109056627486,420.6180604602752,359.3600014563247
"s(5,10)",378.0918358035382,369.2935741473,472.5049818222572,349.68860072093446,739.0195359944022,497.8747561641726,463.72482363492765,390.18472196223354,421.3196314062269,394.46144633837366
"s(5,11)",275.8054550533709,351.5676839273005,372.9054325569643,439.1734966017767,495.11139765499206,714.5014116494083,377.95801364702254,424.4213137741275,432.5176826274835,362.7324707758954
"s(5,12)",341.1717636615645,390.8123086930481,407.94118882085,708.343638751241,439.4322326086084,417.33772360161475,325.4866428946783,379.7169349982339,368.3395251452753,329.50366596230697
"s(5,13)",306.11322702895757,703.1069701700886,366.93298137105455,326.64700061400083,314.6976146760209,390.703238980733,267.3677423761209,310.4259407822348,244.98962770625997,249.42225315833264
"s(5,14)",386.34753073742473,272.1386137939475,329.0973212392585,231.4799011976313,398.0137821106154,697.6283795825029,225.66162791261104,433.48907453896965,386.03646892251567,290.20113239747576
"s(6,5)",470.27683216054663,505.08354670161367,719.8948315442713,368.5684541090488,506.7642103621823,494.92912904574473,471.1520436807395,495.90263869329937,508.0162271734827,397.7538002416913
"s(6,6)",653.859190230365,752.9482383894433,679.8735065873054,693.6375802288795,670.6265507857498,669.5615781952315,686.8761582271395,671.5012790084817,632.4915446435236,629.8616394295401
"s(6,7)",704.1329499227829,718.3462492910162,718.4948356458717,755.3838284374433,712.8109429368409,711.3426335442884,695.7668160145513,686.6941613603167,691.6483282829201,686.6719355267617
"s(6,8)",699.6459309329343,715.2900757468667,714.979694007477,757.9746226346745,712.8382927543225,707.178345706377,710.2594835080002,696.7310484577164,686.8780406995378,682.2161202154332
"s(6,9)",609.8205917272895,540.2421242529704,579.2725258210068,556.4190432647538,632.8621751816895,751.912757854162,575.4662772847587,584.9468661336304,561.9500516832578,442.89600055846194
"s(6,10)",675.5247937870013,695.4304031661372,657.1683425406392,748.8208267276393,628.9359828904411,624.4365702806159,680.0414218585227,658.7750800502251,654.4108539942396,632.7299431000752
"s(6,11)",561.9066221979068,568.3920041253679,538.0000224353578,577.1296184282454,490.74913459517734,712.0369528049206,498.4606852787868,492.7505974686287,513.1095384796661,484.9506558738468
"s(6,12)",613.4539047993103,583.1113426502741,579.6775972054579,630.1108821993172,728.2609769791047,626.9542585307854,562.159418650686,554.0411892453515,524.2196213491966,572.4640871586942
"s(6,13)",351.35540669653324,430.4800028539544,419.50255398833616,465.9997529117953,506.38921235964585,736.1569138180354,557.3779208081559,536.9985105202514,431.2884748977359,565.3412465991835
"s(6,14)",420.9923207055822,337.5264762600495,713.9126977437261,511.2350693896151,543.877292370812,509.8784879492874,443.47829235169706,466.80794435050797,402.22936663564855,509.36522581621904
"s(7,5)",501.4498399821962,507.04515204533095,445.54867377669405,551.6437277279991,734.9758108107062,563.0755060239201,563.0432784458595,515.1849344242456,497.23061463214987,494.3466247915342
"s(7,6)",697.5040229217892,675.9577379144487,707.4512848021645,758.1591406063222,701.8277322521512,715.6449583122816,701.4712354344025,691.1193498142884,681.1786336019582,682.4627602896552
"s(7,7)",671.6269993673142,742.1756558509211,697.3991159898605,697.3418377644432,687.4686960859951,707.2900977156891,688.0213910964911,683.6874977789702,671.0724372436993,675.7662729128954
"s(7,8)",706.407523031197,714.8209843436447,714.9908473056005,755.8825392239369,715.3568781683082,715.9051400594401,710.842159647894,696.2334306737466,693.2088305450465,685.7755797884155
"s(7,9)",736.8045352478034,571.161172828664,592.6779399232228,575.9768064753756,610.5898407392467,526.8877937170301,605.6503733214201,629.9642223435422,537.6554372168629,573.5850197653001
"s(7,10)",530.4445254654395,576.6186182141493,546.7237139081975,510.980834544862,754.3813401448188,509.2372987741851,525.8214704630137,487.3891694274799,522.5758193616745,553.3981087457307
"s(7,11)",509.5514465521609,472.6495597642429,531.5997959546999,461.4154268832869,506.6909121864492,731.204813921725,527.8081290915218,553.7700842778232,527.6472571738921,443.5949042111619
"s(7,12)",472.56332143309334,542.9471697996162,541.39746841518,529.3861572290856,500.11641191770644,733.4034731353554,475.9811526846786,524.214913911311,449.34858566145994,399.89999573095133
"s(7,13)",346.14719056770736,510.6834663765782,453.6683691856696,723.734289253862,416.2000135160086,504.2351217247216,397.0748747955182,403.7210728097215,505.98279381433713,402.6187721858894
"s(7,14)",249.55697671783696,494.4156800851162,433.6808108929647,496.1139547091849,526.0570024933836,721.1149791419326,435.8809087248382,480.48670723906116,340.2637750256262,363.57605591207664
"s(8,5)",669.7675535490598,743.0156336315547,684.0020779156683,684.4634045728022,665.608693192063,675.7503953389536,664.5546523359761,672.6486142124818,639.8914924863883,652.1676101364242
"s(8,6)",671.2730868991997,683.5723512512561,645.1484102046124,705.1481137294968,748.6131217515201,684.9978165098019,682.9495258728,655.2983365883064,614.6712311959077,637.6272014252595
"s(8,7)",711.8740324496392,724.7359680854972,722.7402940958705,725.3906253035582,763.0624531420092,717.7102616294962,716.6076450026106,715.8556449531603,705.8121227990113,695.6032296930308
"s(8,8)",713.2431755780694,720.9390209590792,720.3094822781902,755.456065131687,729.2520486310361,718.7017401635818,712.7258869150364,705.0208765708101,700.9577526575875,694.7842782715892
"s(8,9)",707.868574715894,716.1317900643838,714.3474996264334,756.9715331780371,716.7989764373627,714.7693716268179,712.9701702642265,703.5778639830538,695.7754374801509,694.5616930152861
"s(8,10)",711.3441071902284,732.0414069123333,728.6189780272477,739.7987044569888,765.2262105693792,719.5539921762596,729.3455727274044,714.1451287744602,702.4999762424613,697.538913281652
"s(8,11)",658.8876429118902,742.8623891682975,655.4889686895775,683.3273381467143,631.3172439824743,674.3893224707869,639.039632409721,653.286915759897,654.3974024992527,656.4552580451135
"s(8,12)",616.6250428173122,661.7939105342602,664.6353445345459,752.9785142001216,576.5222855757138,658.9870832894205,657.209337622213,620.08549321361,625.5355861981708,602.848598135951
"s(8,13)",646.7866730412761,604.418093244443,651.0773383071066,494.5719002552435,737.8858823669921,660.1042278724499,641.6581897649833,619.1778007865476,651.7494934882197,609.924600640046
"s(8,14)",569.5384833658675,733.9152289507354,624.2770544109794,570.8068035208826,644.75659556205,643.9796646945989,599.3663704906718,572.5160185405498,603.9751224677772,564.2708557678948
"s(9,5)",431.0316297194921,549.5728548382024,499.8524074020161,533.4767898298156,530.1699094411096,532.778061064706,744.4804751378593,503.17090111203,461.2754156132394,351.7048032709984
"s(9,6)",636.9529561163766,683.7805811311066,648.0019497887532,768.4238284071743,691.7008177518658,685.7724937804095,692.0284953696092,661.9258646612222,666.3812862999689,678.99908570224
"s(9,7)",707.8588850717265,718.5037738649669,719.7970093114391,755.193125560737,715.4168880613892,713.2734550653148,717.3732034540054,706.9728012819627,697.3413510148998,683.2058465928505
"s(9,8)",737.8215238039231,733.4899609701837,724.3936404889228,729.1226917229187,769.069636283402,728.0030405929222,729.8131238617032,724.1644782607231,722.8780500582855,693.771878357463
"s(9,9)",754.7397284978133,747.3113224582505,737.3328671487488,757.4341711740766,769.9999999999814,746.1896614264068,744.4098983073576,736.7563602668861,734.1773462948472,711.31802946048
"s(9,10)",667.2917173235758,696.4517398211361,751.0169306226854,694.3964869227696,702.9553910399446,687.8303209826815,677.6253096202206,658.7581154957777,663.3249616203819,647.2624666686006
"s(9,11)",602.6121634294907,630.7709014253473,620.4253490840749,583.5603797716516,757.4669670320093,599.0779490325542,593.3162523732896,601.9919501678285,500.4258551863054,540.1396176026144
"s(9,12)",567.7741659801793,550.673597889459,357.14203780133136,757.9271118861451,582.1034138510261,483.6549193126022,536.4589804314468,464.41889605676664,470.5731419456989,406.8472074104676
"s(9,13)",394.27021343243996,421.68204118085623,752.4140270150194,492.8637791770225,500.159279659488,453.9017792241216,405.2668296648974,383.94965887886383,515.6567029968688,437.15909224931954
"s(9,14)",410.60049866002385,490.1156896008037,442.0351053416449,535.2686364226803,496.2643531951736,752.2746101477372,523.2159736960524,425.7044596085598,447.5540546037547,538.296510191804
"s(10,5)",569.6655970870798,563.4095208631345,537.1521327748545,587.1535881536274,738.0811538070031,617.8265975653866,563.6196584370869,454.4654014480973,548.249158396905,581.083438680427
